"Module","Submodule","Feature/Function","Surface","Route or Source","Notes"
"Mobile","Settings","Manage mobile account and device settings","Mobile","app/(tabs)/settings.tsx","Expo settings tab"
"Mobile","Authentication","Sign in and maintain a device session","Mobile","app/login.tsx; app/_layout.tsx","Device session lifecycle"
"API","Mobile authentication","Create and revoke mobile device sessions","API","/mobile/auth/device-sessions","Bearer device-session authentication"
"API","Mobile dashboard","Return task, medication, vital, and sync summary counts","API","/mobile/dashboard","Authenticated mobile summary"
"API","Mobile sync","Push offline captures and pull server changes","API","/mobile/sync/push; /mobile/sync/pull","Idempotent sync workflow"
"API","Mobile uploads","Initiate, upload, and complete attachment transfers","API","/mobile/uploads","Supports mobile capture attachments"
"API","Medication","List and update medication reminders and schedules","API","/mobile/medication-reminders","Mobile medication workflow"
"API","Medication","Register devices and manage push reminder settings","API","/mobile/push/devices; /mobile/push/reminders","Notification configuration"
"API","Stock","Read mobile stock levels and reconcile a detected mismatch","API","/mobile/stock-levels","Medication stock integrity workflow"
"API","Apple Health","Read and update Apple Health controls and imported-copy controls","API","/mobile/apple-health/controls; /mobile/apple-health/imported-copy-controls","Privacy and permission controls"
"API","Apple Health","Import anchored Apple Health batches and retrieve anchors","API","/mobile/apple-health/import-batches; /mobile/apple-health/anchors/:sampleType","Anchored import workflow"
"API","Apple Health","Delete imported copies and retain deletion tombstones","API","/mobile/apple-health/imported-copies","Does not modify Apple Health originals"
"API","Health review","List health anomalies and record review decisions","API","/mobile/anomalies; /mobile/anomalies/:anomalyId/review","Observation review workflow"
